book_id,t_book_id,book_title,lang,book_source,country,tags,判定A_日本オリジナルタグ,判定B_t_book_id_14000,判定C_lang_ja,判定D_国タグ日本,タグで日本オリジナル,ID形式で日本向け,日本語版,撮影地が日本
673f0df3d136ee38300bfab3,140000000000000123,裏切りと正義～夫への復讐～,ja,1,アメリカ合衆国,女性向けのドラマ|家族ドラマ|コンテンポラリー|復讐|お涙ちょうだい|済度|インディペンデント・ウーマン,○,○,○,×,True,True,True,False
67d783ef7a49169f06032a4a,140000000000000194,離婚後、私は億万長者の令嬢になりました,ja,1,アメリカ合衆国,女性向けのドラマ|悪女ヒロイン|モダン|身分を隠せ|ビジネス|浮気|億万長者|相続人/社会人,○,○,○,×,True,True,True,False
67e0c68111276a4cd60a758f,140000000000000195,億万長者に溺愛されて困ってます,ja,1,アメリカ合衆国,女性向けのドラマ|甘いロマンス|モダン|偽りの恋人|三角関係|浮気|億万長者|学生,○,○,○,×,True,True,True,False
680065d17b46cf427c03fa02,140000000000000205,元カレの父に恋してしまった,ja,1,アメリカ合衆国,女性向けのドラマ|モダン|年齢差|タブー|億万長者|無邪気な乙女|イケオジ/ディルフ,○,○,○,×,True,True,True,False
682c1f68ecb0d7ca860905d8,140000000000000230,オフィスで始まる恋の駆け引き,ja,1,アメリカ合衆国,女性向けのドラマ|甘いロマンス|モダン|オフィスラブ|再会,○,○,○,×,True,True,True,False
68be39a5003483579d0f9450,140000000000000320,逆転オーナー,ja,1,アメリカ合衆国,立身出世,○,○,○,×,True,True,True,False
69421d3aa16cee9b6f0db489,140000000000002482,静かなるガーディアン,ja,1,アメリカ合衆国,カムバックストーリー,○,○,○,×,True,True,True,False
679733dcc433ee9b23087d65,140000000000000171,恋はフルスロットル,ja,1,アメリカ合衆国,女性向けのドラマ|スイート|コンテンポラリー|スピード婚|身分を隠せ|結婚後の恋愛|無邪気な乙女|億万長者,○,○,○,×,True,True,True,False
68006607e3de3d92f00fa18a,140000000000000211,愛のすれ違い 〜7年後の再会〜,ja,1,アメリカ合衆国,女性向けのドラマ|二度目のチャンス|モダン|再会|三角関係|億万長者,○,○,○,×,True,True,True,False
6805f017bb1ea9eaed08ae8f,140000000000000208,悪魔に囚われた花嫁,ja,1,アメリカ合衆国,女性向けのドラマ|中毒性がある恋愛|マフィア|敵から恋人へ|復讐|愛憎,○,○,○,×,True,True,True,False
683555e93faf19070b02fc9c,140000000000000239,欲望に呑まれた夜の行方,ja,1,アメリカ合衆国,女性向けのドラマ|官能小説|モダン|友達から恋人へ|隠された気持ち|三角関係|相続人/社会人,○,○,○,×,True,True,True,False
67d783d5af1655c2a60892af,140000000000000189,お父さんの友人に恋して,ja,1,アメリカ合衆国,女性向けのドラマ|モダン|年齢差|タブー|幼馴染みの恋人|イケオジ/ディルフ|Julia Lynn Clarke,○,○,○,×,True,True,True,False
6842619a92432df6a30b4f56,140000000000000258,薔薇は棘を隠す,ja,1,アメリカ合衆国,女性向けのドラマ|悪女ヒロイン|ファンタジー|身分を隠せ|復讐|スピード婚|ロイヤル/貴族,○,○,○,×,True,True,True,False
68c8c9cd8e1f660f9f0e50c0,140000000000000318,お嬢様には手を出すな,ja,1,アメリカ合衆国,ヤングアダルト,○,○,○,×,True,True,True,False
68c8c9e52ca71adaa90d321a,140000000000000328,家無し少女と大富豪,ja,1,アメリカ合衆国,甘いロマンス,○,○,○,×,True,True,True,False
66c2b1f7629adead4c0d1fc3,140000000000000089,億万長者の夫と愛なき結婚、別れが去った,ja,1,イギリス,女性向けのドラマ|悪女ヒロイン|コンテンポラリー|離婚後の愛|フィール・グッド|タブー,○,○,○,×,True,True,True,False
678a202609669df8c00d2713,140000000000000162,クビになった後、 敵社で逆襲を誓う,ja,1,アメリカ合衆国,男向けのドラマ|カムバックストーリー|コンテンポラリー|身分を隠せ|とぼける|ビジネス,○,○,○,×,True,True,True,False
6823f978162b401cd40bcad1,140000000000000244,別れの賭け、5年後に,ja,1,アメリカ合衆国,女性向けのドラマ|二度目のチャンス|モダン|再会|三角関係|億万長者,○,○,○,×,True,True,True,False
6891d57510c59713c307ea50,140000000000000296,クチュールの女王は黙らない,ja,1,アメリカ合衆国,悪女ヒロイン,○,○,○,×,True,True,True,False
68d204f8e247d35df0030a34,140000000000000330,間違えられた番：ルナの後悔,ja,1,アメリカ合衆国,家族ドラマ,○,○,○,×,True,True,True,False
68d39741bad1adc73a03b6e5,140000000000000329,あなただけ知らない私たちの子,ja,1,アメリカ合衆国,甘いロマンス,○,○,○,×,True,True,True,False
66a0749ac9afd408a10ecabe,140000000000000011,禁断のアルファとの運命,ja,1,アメリカ合衆国,運命の恋人|ファンタジー|身分を隠せ|狼男|スイート|女性向けのドラマ|Autumn Noel|無邪気な乙女|Kasey Esser|John William DiCaro,○,○,○,×,True,True,True,False
